"id","question","answer_diplomat"
"1","My manager keeps taking credit for my work. How should I respond without blowing things up?","Treat this as a power-mapping exercise, not a moral crisis. Quietly make sure your contributions are visible to people one level above them (status reports, demos, written summaries), while giving your manager language they can use that includes you: “our team’s work”, “Chris led this part”. You don’t need to confront; you need witnesses."
"2","A senior leader is clearly wrong in a meeting. Do I correct them in front of everyone?","Almost never. Ask a clarifying question that surfaces the issue without directly contradicting them: “Can you help me understand how that fits with X?” Then follow up in private with data and a proposed path that preserves their status: “If we tweak it this way, it still hits your goal and avoids Y.” Truth is easier to accept when it doesn’t cost face."
"3","A peer keeps talking over me in meetings. What’s the diplomatic move?","First, redirect in the moment without escalating: “Let me finish this thought and then I’m curious how you’d approach it.” After the meeting, speak to them directly but neutrally: “When I’m interrupted, it makes it harder to move the discussion forward. Can we try trading full turns?” If that fails, enlist the facilitator to set turn-taking norms. Make the behavior a process problem, not a personality clash."
"4","I want a promotion, but my boss says there’s no budget. What do I do?","Treat “no budget” as “no urgency”. Clarify the bar in writing: responsibilities, scope, impact. Then deliberately operate at that level for a few months and document outcomes tied to business metrics. When you return, you’re not asking for a favor, you’re asking for the title and pay that match the work you are already doing. If they still stall, you’ve prepared a strong case for leverage elsewhere."
"5","A client is asking for lots of small scope increases. How do I push back without sounding difficult?","Bundle the fragments into a visible whole. Say: “Individually these are small, but together they add roughly X days of work. We can either adjust the timeline, remove Y from this phase, or price this as a change. Which is best for you?” You’re not refusing; you’re forcing a choice between realities."
"6","My team is split on a decision and wants me to choose a side. How do I avoid alienating half of them?","Slow the decision down and reframe it around criteria instead of personalities. Ask: “What are we optimizing for: speed, safety, or flexibility?” Once the criteria are explicit, choose the option that best fits and narrate that choice: “Given we agreed reliability matters most this quarter, this path fits best.” People accept losing more easily when they see the logic that beat them."
"7","Someone in another department keeps blocking my requests. How do I get them onside?","Assume they are protecting something. Ask them privately: “What’s your worst-case scenario here?” and really listen. Then propose a small, reversible experiment that addresses their fear: “What if we try this with one subset and explicit rollback criteria?” You convert them from gatekeeper to co-owner of the risk."
"8","How do I say no to my VP asking for a ‘quick favor’ that will derail my week?","You rarely say “no” outright; you say “yes, if”. For example: “I can take this on, but that means Feature X slips to next week. Is that an acceptable trade-off?” You stay cooperative while forcing them to confront the real cost. If they insist, they’ve chosen the trade and you’re covered."
"9","My CEO keeps changing strategy every month. How do I stay sane and effective?","Stop treating their words as sacred text and start treating them as weather reports. Look for the stable underlying interests—revenue, runway, investor confidence—and align to those. Build a small portfolio of work that remains useful under several possible future directions. You optimize for robustness, not for perfect obedience to every new slogan."
"10","A colleague is undermining me with subtle comments. How can I respond without looking paranoid?","Document patterns first: who, when, in front of whom, with what effect. Then address it in private with surgical specificity: “In the last three meetings you’ve said X right after I speak, which leaves the impression Y. That’s hurting my ability to contribute. What’s going on?” If it continues, you now have concrete examples to escalate as a professionalism issue, not a vague complaint."
